ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),delivery_time_mins,weather_clean,is_late,distance_km
0x78bf,BANGRES04DEL02,39,4.4,12.98041,77.640489,13.11041,77.770489,29/03/22,18:10:00,18:15:00,conditions Sunny,Medium,0,Meal,motorcycle,1,No,Metropolitian,(min) 33,33,Sunny,1,20.18
0x1e2d,BANGRES13DEL01,34,4.7,12.935662,77.61413,12.975662,77.65413,03/04/22,16:00:00,16:15:00,conditions Windy,Medium,1,Snack,motorcycle,1,No,Metropolitian,(min) 30,30,Windy,0,6.21
0x98ca,BANGRES17DEL02,33,4.7,12.972532,77.608179,13.022532,77.658179,09/03/22,18:10:00,18:25:00,conditions Fog,Medium,2,Buffet,electric_scooter,1,No,Urban,(min) 15,15,Fog,0,7.76
0xab33,BANGRES08DEL02,27,4.9,12.906229,77.596791,12.986229,77.676791,02/03/22,23:25:00,23:40:00,conditions Fog,Low,2,Drinks,scooter,0,No,Metropolitian,(min) 20,20,Fog,0,12.42
0x7646,BANGRES010DEL02,26,4.8,12.933298,77.614293,13.013298,77.694293,27/03/22,19:30:00,19:40:00,conditions Cloudy,Jam,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Cloudy,1,12.42
0xaefa,BANGRES06DEL03,29,4.5,12.979096,77.640625,13.009096,77.670625,03/04/22,18:45:00,18:50:00,conditions Sunny,Medium,0,Snack,motorcycle,0,No,Metropolitian,(min) 15,15,Sunny,0,4.66
0x7c60,BANGRES010DEL01,38,4.1,12.933298,77.614293,12.943298,77.624293,05/03/22,11:50:00,11:55:00,conditions Stormy,High,0,Buffet,motorcycle,1,Yes,Metropolitian,(min) 41,41,Stormy,1,1.55
0x7b03,BANGRES07DEL01,20,4.5,12.978453,77.643685,13.048453,77.713685,02/03/22,20:25:00,20:35:00,conditions Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,(min) 27,27,Windy,0,10.87
0xbe78,BANGRES15DEL02,29,4.5,12.975377,77.696664,13.055377,77.776664,31/03/22,22:25:00,22:40:00,conditions Windy,Low,1,Snack,scooter,0,No,Urban,(min) 13,13,Windy,0,12.42
0xa4eb,BANGRES01DEL02,22,4.8,12.933284,77.615428,12.953284,77.635428,26/03/22,9:40:00,9:45:00,conditions Sunny,Low,1,Drinks,motorcycle,1,No,Metropolitian,(min) 18,18,Sunny,0,3.11
0x5b70,BANGRES04DEL02,24,4.6,12.98041,77.640489,13.06041,77.720489,23/03/22,18:30:00,18:40:00,conditions Windy,Medium,2,Snack,electric_scooter,0,No,Urban,(min) 24,24,Windy,0,12.42
0x31bd,BANGRES09DEL02,28,4.8,12.934179,77.615797,12.954179,77.635797,17/03/22,11:00:00,11:05:00,conditions Sunny,Low,1,Buffet,scooter,1,No,Urban,(min) 18,18,Sunny,0,3.11
0x8094,BANGRES13DEL02,31,4.0,12.935662,77.61413,13.015662,77.69413,12/03/22,23:45:00,23:55:00,conditions Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 35,35,Cloudy,1,12.42
0x7df5,BANGRES16DEL03,37,4.1,13.029198,77.570997,13.059198,77.600997,15/03/22,17:45:00,18:00:00,conditions Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,(min) 38,38,Windy,1,4.66
0xa56e,BANGRES20DEL03,31,4.9,12.972161,77.596014,13.002161,77.626014,03/04/22,20:30:00,20:35:00,conditions Sunny,Jam,0,Meal,motorcycle,0,No,Metropolitian,(min) 28,28,Sunny,0,4.66
0x6de1,BANGRES04DEL03,36,4.2,12.98041,77.640489,13.01041,77.670489,01/04/22,18:30:00,18:35:00,conditions Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 37,37,Sandstorms,1,4.66
0x4dfa,BANGRES16DEL01,22,4.0,13.029198,77.570997,13.039198,77.580997,13/03/22,9:45:00,9:55:00,conditions Sandstorms,Low,0,Snack,motorcycle,1,No,Urban,(min) 28,28,Sandstorms,0,1.55
0x1a54,BANGRES15DEL01,32,4.0,12.975377,77.696664,13.045377,77.766664,23/03/22,18:45:00,18:50:00,conditions Windy,Medium,0,Buffet,motorcycle,3,Yes,Urban,(min) 49,49,Windy,1,10.87
0x9201,BANGRES08DEL01,29,4.6,12.906229,77.596791,13.016229,77.706791,04/04/22,21:45:00,21:50:00,conditions Windy,Jam,0,Meal,motorcycle,1,No,Urban,(min) 29,29,Windy,0,17.08
0xa940,BANGRES010DEL03,22,4.7,12.933298,77.614293,13.023298,77.704293,20/03/22,20:15:00,20:30:00,conditions Sunny,Jam,0,Snack,motorcycle,0,No,Metropolitian,(min) 24,24,Sunny,0,13.97
0x7c9e,BANGRES20DEL02,35,4.8,12.972161,77.596014,12.992161,77.616014,13/03/22,10:00:00,10:05:00,conditions Sandstorms,Low,2,Snack,scooter,0,No,Metropolitian,(min) 29,29,Sandstorms,0,3.11
0x80c2,BANGRES08DEL02,39,5.0,12.906229,77.596791,13.036229,77.726791,02/03/22,23:10:00,23:15:00,conditions Cloudy,Low,0,Meal,motorcycle,1,No,Metropolitian,(min) 41,41,Cloudy,1,20.18
0x26f1,BANGRES01DEL01,37,4.7,12.933284,77.615428,13.003284,77.685428,06/04/22,17:20:00,17:35:00,conditions Cloudy,Medium,1,Buffet,motorcycle,0,No,Metropolitian,(min) 40,40,Cloudy,1,10.87
0x9151,BANGRES14DEL02,34,4.4,12.949934,77.699386,12.999934,77.749386,05/03/22,21:45:00,22:00:00,conditions Stormy,Jam,2,Buffet,scooter,1,No,Urban,(min) 31,31,Stormy,1,7.76
0x70f5,BANGRES17DEL02,33,4.7,12.972532,77.608179,12.992532,77.628179,05/04/22,8:30:00,8:35:00,conditions Fog,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 18,18,Fog,0,3.11
0x4f9a,BANGRES20DEL01,31,4.4,12.972161,77.596014,13.042161,77.666014,12/03/22,20:25:00,20:30:00,conditions Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 44,44,Sandstorms,1,10.87
0x7943,BANGRES12DEL02,25,4.8,12.939496,77.625999,13.069496,77.755999,29/03/22,17:45:00,18:00:00,conditions Fog,Medium,2,Drinks,scooter,0,No,Metropolitian,(min) 30,30,Fog,0,20.18
0x6948,BANGRES15DEL02,39,3.5,12.975377,77.696664,13.055377,77.776664,16/03/22,22:15:00,22:20:00,conditions Cloudy,Low,2,Meal,motorcycle,0,No,Urban,(min) 32,32,Cloudy,1,12.42
0x3d57,BANGRES08DEL02,29,4.5,12.906229,77.596791,13.036229,77.726791,18/03/22,20:55:00,21:00:00,conditions Cloudy,Jam,2,Snack,scooter,1,No,Urban,(min) 30,30,Cloudy,0,20.18
0x5aa4,BANGRES12DEL01,25,4.5,12.939496,77.625999,12.979496,77.665999,15/03/22,14:25:00,14:30:00,conditions Windy,High,1,Snack,scooter,1,No,Urban,(min) 16,16,Windy,0,6.21
0x5145,BANGRES11DEL01,29,4.3,12.934365,77.616155,12.974365,77.656155,30/03/22,12:25:00,12:40:00,conditions Cloudy,High,1,Meal,scooter,1,No,Urban,(min) 33,33,Cloudy,1,6.21
0x91ba,BANGRES08DEL01,24,4.8,12.906229,77.596791,13.016229,77.706791,29/03/22,18:55:00,19:10:00,conditions Sandstorms,Medium,1,Snack,scooter,1,No,Urban,(min) 29,29,Sandstorms,0,17.08
0xaea,BANGRES19DEL01,23,5.0,12.914264,77.6784,13.024264,77.7884,23/03/22,23:55:00,0:05:00,conditions Sandstorms,Low,1,Meal,scooter,1,No,Urban,(min) 11,11,Sandstorms,0,17.08
0x5d47,BANGRES09DEL01,34,4.3,12.934179,77.615797,13.044179,77.725797,29/03/22,18:15:00,18:25:00,conditions Sandstorms,Medium,0,Snack,motorcycle,1,No,Metropolitian,(min) 35,35,Sandstorms,1,17.08
0x6b51,BANGRES16DEL01,31,4.8,13.029198,77.570997,13.039198,77.580997,21/03/22,9:45:00,10:00:00,conditions Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,(min) 26,26,Fog,0,1.55
0x3b1e,BANGRES02DEL02,21,4.7,12.970221,77.645396,13.100221,77.775396,23/03/22,19:35:00,19:45:00,conditions Sandstorms,Jam,1,Meal,motorcycle,0,No,Metropolitian,(min) 29,29,Sandstorms,0,20.18
0x9797,BANGRES010DEL01,38,4.3,12.933298,77.614293,13.043298,77.724293,02/03/22,19:25:00,19:40:00,conditions Sunny,Jam,2,Snack,scooter,0,No,Metropolitian,(min) 31,31,Sunny,1,17.08
0x2e2a,BANGRES03DEL02,23,4.8,12.979166,77.640709,12.999166,77.660709,15/03/22,10:35:00,10:45:00,conditions Fog,Low,1,Buffet,motorcycle,1,No,Urban,(min) 11,11,Fog,0,3.11
0x3318,BANGRES010DEL02,25,4.7,12.933298,77.614293,13.063298,77.744293,20/03/22,17:50:00,17:55:00,conditions Sandstorms,Medium,2,Meal,scooter,1,No,Urban,(min) 23,23,Sandstorms,0,20.18
0x33be,BANGRES02DEL02,28,4.9,12.970221,77.645396,13.020221,77.695396,07/03/22,17:20:00,17:25:00,conditions Stormy,Medium,2,Snack,scooter,1,No,Metropolitian,(min) 24,24,Stormy,0,7.76
0x7ffc,BANGRES16DEL01,36,4.4,13.029198,77.570997,13.139198,77.680997,16/03/22,17:55:00,18:05:00,conditions Cloudy,Medium,1,Snack,motorcycle,1,No,Urban,(min) 31,31,Cloudy,1,17.07
0x3776,BANGRES04DEL01,25,5.0,12.98041,77.640489,12.99041,77.650489,17/03/22,12:00:00,12:10:00,conditions Cloudy,High,1,Drinks,scooter,1,No,Urban,(min) 32,32,Cloudy,1,1.55
0x895b,BANGRES06DEL02,24,4.2,12.979096,77.640625,13.109096,77.770625,20/03/22,18:30:00,18:45:00,conditions Cloudy,Medium,2,Drinks,scooter,1,No,Metropolitian,(min) 35,35,Cloudy,1,20.18
0x4593,BANGRES17DEL03,31,4.8,12.972532,77.608179,13.062532,77.698179,16/03/22,17:10:00,17:15:00,conditions Windy,Medium,2,Drinks,scooter,0,No,Metropolitian,(min) 21,21,Windy,0,13.97
0x7f7e,BANGRES01DEL02,28,4.9,12.933284,77.615428,12.983284,77.665428,09/03/22,17:45:00,17:55:00,conditions Windy,Medium,0,Meal,motorcycle,1,No,Metropolitian,(min) 13,13,Windy,0,7.76
0x759d,BANGRES14DEL01,23,5.0,12.949934,77.699386,13.019934,77.769386,12/03/22,21:55:00,22:05:00,conditions Windy,Jam,2,Snack,electric_scooter,1,No,Metropolitian,(min) 27,27,Windy,0,10.87
0x92dd,BANGRES09DEL01,34,4.7,12.934179,77.615797,12.974179,77.655797,28/03/22,12:45:00,13:00:00,conditions Fog,High,0,Buffet,motorcycle,1,No,Urban,(min) 26,26,Fog,0,6.21
0x8bb9,BANGRES19DEL02,23,4.5,12.914264,77.6784,13.044264,77.8084,31/03/22,18:45:00,18:50:00,conditions Windy,Medium,2,Drinks,scooter,1,No,Urban,(min) 26,26,Windy,0,20.18
0xbeb1,BANGRES11DEL02,25,4.8,12.934365,77.616155,12.984365,77.666155,01/04/22,22:30:00,22:45:00,conditions Sunny,Low,1,Drinks,motorcycle,0,No,Metropolitian,(min) 22,22,Sunny,0,7.76
0x2c0b,BANGRES05DEL03,39,4.9,12.970324,77.645748,13.030324,77.705748,17/03/22,19:15:00,19:30:00,conditions Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,(min) 30,30,Windy,0,9.32
0x8d35,BANGRES15DEL01,35,5.0,12.975377,77.696664,12.985377,77.706664,26/03/22,11:15:00,11:25:00,conditions Stormy,High,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Stormy,1,1.55
0x536c,BANGRES14DEL02,38,5.0,12.949934,77.699386,12.969934,77.719386,19/03/22,12:00:00,12:05:00,conditions Cloudy,High,0,Snack,motorcycle,0,No,Metropolitian,(min) 25,25,Cloudy,0,3.11
0x8229,BANGRES19DEL01,26,4.9,12.914264,77.6784,12.984264,77.7484,31/03/22,21:35:00,21:40:00,conditions Sandstorms,Jam,2,Drinks,scooter,1,No,Metropolitian,(min) 17,17,Sandstorms,0,10.87
0x1f3c,BANGRES09DEL02,22,5.0,12.934179,77.615797,13.064179,77.745797,06/04/22,21:10:00,21:25:00,conditions Sunny,Jam,0,Snack,motorcycle,2,No,Metropolitian,(min) 34,34,Sunny,1,20.18
0x8273,BANGRES08DEL01,35,5.0,12.906229,77.596791,12.946229,77.636791,01/04/22,14:55:00,15:00:00,conditions Cloudy,High,2,Drinks,scooter,1,No,Urban,(min) 37,37,Cloudy,1,6.21
0xbd23,BANGRES13DEL02,34,4.8,12.935662,77.61413,12.955662,77.63413,05/04/22,8:20:00,8:30:00,conditions Fog,Low,1,Snack,scooter,1,No,Metropolitian,(min) 17,17,Fog,0,3.11
0x3a89,BANGRES07DEL02,38,4.8,12.978453,77.643685,12.998453,77.663685,07/03/22,10:35:00,10:45:00,conditions Windy,Low,2,Buffet,electric_scooter,0,No,Metropolitian,(min) 27,27,Windy,0,3.11
0x29fb,BANGRES18DEL03,35,4.6,12.913041,77.683237,13.003041,77.773237,02/03/22,18:10:00,18:20:00,conditions Sandstorms,Medium,0,Drinks,motorcycle,0,No,Metropolitian,(min) 37,37,Sandstorms,1,13.97
0xb1a5,BANGRES14DEL01,23,5.0,12.949934,77.699386,13.059934,77.809386,16/03/22,18:30:00,18:35:00,conditions Fog,Medium,1,Buffet,scooter,1,No,Metropolitian,(min) 30,30,Fog,0,17.08
0x5064,BANGRES13DEL03,21,4.2,12.935662,77.61413,12.995662,77.67413,07/03/22,23:40:00,23:45:00,conditions Stormy,Low,0,Buffet,motorcycle,0,No,Urban,(min) 23,23,Stormy,0,9.32
0x7170,BANGRES03DEL02,23,4.6,12.979166,77.640709,13.029166,77.690709,03/03/22,18:55:00,19:00:00,conditions Stormy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 21,21,Stormy,0,7.76
0x791a,BANGRES06DEL02,37,4.6,12.979096,77.640625,13.109096,77.770625,23/03/22,17:40:00,17:55:00,conditions Sunny,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 36,36,Sunny,1,20.18
0xb5db,BANGRES08DEL01,33,4.1,12.906229,77.596791,13.016229,77.706791,06/03/22,21:40:00,21:50:00,conditions Sandstorms,Jam,0,Snack,motorcycle,1,No,Urban,(min) 35,35,Sandstorms,1,17.08
0x91cf,BANGRES18DEL01,37,4.7,12.913041,77.683237,12.983041,77.753237,14/03/22,18:35:00,18:45:00,conditions Sunny,Medium,0,Drinks,motorcycle,0,No,Metropolitian,(min) 39,39,Sunny,1,10.87
0x292b,BANGRES06DEL02,22,4.9,12.979096,77.640625,13.109096,77.770625,10/03/22,22:20:00,22:35:00,conditions Fog,Low,1,Meal,motorcycle,1,No,NaN,(min) 26,26,Fog,0,20.18
0x3f7d,BANGRES010DEL02,36,4.8,12.933298,77.614293,12.983298,77.664293,03/04/22,23:35:00,23:40:00,conditions Windy,Low,1,Snack,motorcycle,0,No,Metropolitian,(min) 22,22,Windy,0,7.76
0x9eec,BANGRES09DEL03,32,5.0,12.934179,77.615797,12.994179,77.675797,26/03/22,23:35:00,23:50:00,conditions Sunny,Low,2,Drinks,motorcycle,1,No,Metropolitian,(min) 16,16,Sunny,0,9.32
0x4351,BANGRES06DEL01,38,4.9,12.979096,77.640625,12.989096,77.650625,26/03/22,9:35:00,9:45:00,conditions Sunny,Low,0,Buffet,motorcycle,1,No,Urban,(min) 26,26,Sunny,0,1.55
0x317c,BANGRES17DEL03,25,4.9,12.972532,77.608179,13.002532,77.638179,05/04/22,23:35:00,23:45:00,conditions Windy,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 17,17,Windy,0,4.66
0x8e5c,BANGRES15DEL02,31,4.6,12.975377,77.696664,13.055377,77.776664,10/03/22,22:15:00,22:30:00,conditions Sandstorms,Low,2,Meal,scooter,1,No,Urban,(min) 24,24,Sandstorms,0,12.42
0xbb36,BANGRES02DEL03,31,4.9,12.970221,77.645396,13.060221,77.735396,06/03/22,20:20:00,20:25:00,conditions Windy,Jam,2,Meal,scooter,1,No,Metropolitian,(min) 29,29,Windy,0,13.97
0x6d6c,BANGRES15DEL02,35,4.8,12.975377,77.696664,13.025377,77.746664,07/03/22,23:55:00,0:10:00,conditions Cloudy,Low,2,Buffet,motorcycle,1,No,Metropolitian,(min) 18,18,Cloudy,0,7.76
0x470c,BANGRES17DEL02,22,4.7,12.972532,77.608179,13.022532,77.658179,13/03/22,20:15:00,20:25:00,conditions Cloudy,Jam,2,Drinks,motorcycle,0,No,Metropolitian,(min) 33,33,Cloudy,1,7.76
0x7ddf,BANGRES02DEL01,37,4.9,12.970221,77.645396,13.010221,77.685396,30/03/22,15:40:00,15:50:00,conditions Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 38,38,Sandstorms,1,6.21
0x7a87,BANGRES01DEL03,20,4.8,12.933284,77.615428,12.963284,77.645428,01/04/22,23:25:00,23:30:00,conditions Sunny,Low,2,Buffet,scooter,1,No,Metropolitian,(min) 21,21,Sunny,0,4.66
0x8271,BANGRES12DEL03,32,4.0,12.939496,77.625999,13.029496,77.715999,27/03/22,18:15:00,18:30:00,conditions Windy,Medium,0,Snack,motorcycle,1,No,Urban,(min) 40,40,Windy,1,13.97
0x7b96,BANGRES12DEL01,28,4.8,12.939496,77.625999,13.049496,77.735999,18/03/22,22:35:00,22:50:00,conditions Stormy,Low,0,Snack,motorcycle,0,No,Urban,(min) 15,15,Stormy,0,17.08
0xa8e0,BANGRES08DEL03,30,4.7,12.906229,77.596791,12.936229,77.626791,01/04/22,23:10:00,23:20:00,conditions Sandstorms,Low,1,Meal,motorcycle,1,No,Metropolitian,(min) 29,29,Sandstorms,0,4.66
0xbe99,BANGRES14DEL01,36,4.9,12.949934,77.699386,12.959934,77.709386,21/03/22,8:25:00,8:35:00,conditions Sunny,Low,0,Drinks,motorcycle,0,No,Metropolitian,(min) 21,21,Sunny,0,1.55
0x65a,BANGRES02DEL01,27,5.0,12.970221,77.645396,13.010221,77.685396,03/04/22,16:25:00,16:40:00,conditions Sandstorms,Medium,0,Meal,motorcycle,1,No,Metropolitian,(min) 26,26,Sandstorms,0,6.21
0xb8bb,BANGRES07DEL01,38,4.3,12.978453,77.643685,12.988453,77.653685,01/03/22,11:20:00,11:25:00,conditions Fog,High,2,Snack,electric_scooter,1,No,Metropolitian,(min) 37,37,Fog,1,1.55
0x5c0b,BANGRES19DEL03,39,4.8,12.914264,77.6784,13.004264,77.7684,06/03/22,19:25:00,19:35:00,conditions Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,(min) 38,38,Stormy,1,13.97
0x4a2e,BANGRES08DEL01,22,4.7,12.906229,77.596791,12.946229,77.636791,30/03/22,14:30:00,14:40:00,conditions Fog,High,0,Meal,motorcycle,0,No,Metropolitian,(min) 26,26,Fog,0,6.21
0x99a9,BANGRES17DEL02,33,4.5,12.972532,77.608179,13.022532,77.658179,15/03/22,21:00:00,21:15:00,conditions Sunny,Jam,2,Snack,electric_scooter,0,No,Metropolitian,(min) 22,22,Sunny,0,7.76
0x66b9,BANGRES17DEL02,28,4.9,12.972532,77.608179,13.022532,77.658179,03/03/22,19:45:00,19:55:00,conditions Sandstorms,Jam,1,Buffet,scooter,1,No,Metropolitian,(min) 17,17,Sandstorms,0,7.76
0x5c06,BANGRES11DEL02,22,3.1,12.934365,77.616155,13.064365,77.746155,14/03/22,22:20:00,22:30:00,conditions Sunny,Low,1,Meal,scooter,1,No,Metropolitian,(min) 40,40,Sunny,1,20.18
0x85d3,BANGRES01DEL03,21,4.9,12.933284,77.615428,12.993284,77.675428,03/04/22,23:55:00,0:05:00,conditions Stormy,Low,1,Meal,motorcycle,1,No,Metropolitian,(min) 18,18,Stormy,0,9.32
0x1328,BANGRES07DEL03,22,4.8,12.978453,77.643685,13.008453,77.673685,09/03/22,20:45:00,21:00:00,conditions Stormy,Jam,2,Buffet,scooter,0,No,Metropolitian,(min) 22,22,Stormy,0,4.66
0xb8c5,BANGRES04DEL01,21,4.6,12.98041,77.640489,13.09041,77.750489,29/03/22,18:30:00,18:45:00,conditions Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,(min) 29,29,Fog,0,17.08
0xbed8,BANGRES08DEL02,36,4.6,12.906229,77.596791,12.956229,77.646791,26/03/22,18:40:00,18:50:00,conditions Windy,Medium,1,Meal,motorcycle,1,No,Metropolitian,(min) 29,29,Windy,0,7.76
0x26dc,BANGRES11DEL02,25,5.0,12.934365,77.616155,13.064365,77.746155,29/03/22,23:30:00,23:35:00,conditions Stormy,Low,2,Drinks,scooter,0,No,NaN,(min) 10,10,Stormy,0,20.18
0x9d96,BANGRES20DEL03,35,4.6,12.972161,77.596014,13.002161,77.626014,26/03/22,17:15:00,17:20:00,conditions Fog,Medium,0,Buffet,motorcycle,1,No,Metropolitian,(min) 32,32,Fog,1,4.66
0xb8ba,BANGRES19DEL01,38,4.0,12.914264,77.6784,13.024264,77.7884,14/03/22,19:15:00,19:25:00,conditions Fog,Jam,2,Drinks,motorcycle,1,No,Urban,(min) 43,43,Fog,1,17.08
0x89ac,BANGRES01DEL02,21,5.0,12.933284,77.615428,12.983284,77.665428,01/03/22,17:10:00,17:25:00,conditions Sunny,Medium,2,Snack,motorcycle,0,No,Urban,(min) 11,11,Sunny,0,7.76
0x6dae,BANGRES19DEL02,30,4.7,12.914264,77.6784,12.934264,77.6984,17/03/22,9:15:00,9:30:00,conditions Stormy,Low,2,Meal,scooter,1,No,Urban,(min) 20,20,Stormy,0,3.11
0x80ea,BANGRES18DEL03,37,5.0,12.913041,77.683237,12.943041,77.713237,28/03/22,20:50:00,21:00:00,conditions Stormy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 34,34,Stormy,1,4.66
0x7425,BANGRES04DEL02,34,4.7,12.98041,77.640489,13.03041,77.690489,05/03/22,22:50:00,23:00:00,conditions Sandstorms,Low,1,Meal,scooter,1,No,Metropolitian,(min) 23,23,Sandstorms,0,7.76
0x3654,BANGRES13DEL03,34,4.1,12.935662,77.61413,13.025662,77.70413,25/03/22,20:50:00,20:55:00,conditions Stormy,Jam,1,Meal,motorcycle,1,No,Metropolitian,(min) 35,35,Stormy,1,13.97
0xefa,BANGRES01DEL03,27,4.8,12.933284,77.615428,13.023284,77.705428,10/03/22,19:20:00,19:35:00,conditions Windy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 35,35,Windy,1,13.97
0x6386,BANGRES11DEL03,32,4.6,12.934365,77.616155,12.994365,77.676155,03/04/22,17:10:00,17:25:00,conditions Cloudy,Medium,1,Meal,scooter,0,No,Urban,(min) 16,16,Cloudy,0,9.32
